北京,街道（镇/乡）,社区卫生服务中心（站）,办公地址,办公电话
,清源街道,清源社区卫生服务中心,北京市大兴黄村兴丰北大街138号,60283678
,青云店镇,青云店社区卫生服务中心,北京市大兴区青云店镇五村,80281032
怀柔区,泉河街道,泉河街道社区卫生服务中心,北京市怀柔区泉河街道社区卫生服务中心,69685145
,怀柔地区,怀柔镇社区卫生服务中心,北京市怀柔区兴怀大街4号,69698120
,庙城地区,庙城镇社区卫生服务中心,北京市怀柔区庙城镇庙城村,01060693051
,桥梓镇,桥梓镇社区卫生服务中心,北京市怀柔区桥梓镇茶坞铁路地区,01051048019
,杨宋镇,杨宋镇社区卫生服务中心,北京市怀柔区杨宋镇仙台村,61671428
,北房镇,北房镇社区卫生服务中心,北京市怀柔区北房镇社区卫生服务中心,61681942
,渤海镇,渤海镇社区卫生服务中心,北京市怀柔区渤海镇渤海所村西,61632391
,九渡河镇,九渡河社区卫生服务中心,北京市怀柔区九渡河镇黄花城村,61651165
,雁栖地区,雁栖镇社区卫生服务中心,北京市怀柔区雁栖镇下庄村南434号,61642581
,怀北镇,怀北镇社区卫生服务中心,北京市怀柔区怀北镇西庄村西319号,010-69662564
,琉璃庙镇,琉璃庙镇社区卫生服务中心,北京市怀柔区琉璃庙镇琉璃庙村,61610541
,汤河口镇,汤河口镇社区卫生服务中心,北京市怀柔区汤河口镇汤河口大街5号,89671926
,宝山镇,宝山镇社区卫生服务中心,北京市怀柔区宝山镇宝山寺村115号,60625988
,长哨营满族乡,长哨营社区卫生服务中心,北京市怀柔区长哨营满族乡长哨营村,60621945
,喇叭沟门满族乡,喇叭沟门社区卫生服务中心,北京市怀柔区喇叭沟门村,60623519
,龙山街道,龙山街道社区卫生服务中心,北京市怀柔区南大街24号,69647901
朝阳区,望京开发街道,望京社区卫生服务中心,北京市朝阳区望花路西里14号,64707662
,望京街道,望京社区卫生服务中心,北京市朝阳区望花路西里14号,64707662
,酒仙桥街道,酒仙桥社区卫生服务中心,北京市朝阳区酒仙桥十街坊6号,64321278
,左家庄街道,左家庄社区卫生服务中心,北京市朝阳区顺源街01楼,64672412
,三里屯街道,三里屯社区卫生服务中心,北京市朝阳区北三里屯南45号,010-64152731
,团结湖街道,团结湖社区卫生服务中心,北京市朝阳区团结湖北三条7号楼,85975958
,六里屯街道,六里屯社区卫生服务中心,北京市朝阳区水碓子东路15号,85964238
,朝阳门外街道,朝外社区卫生服务中心,北京市朝阳区工体南路6号,65535620
,八里庄街道,八里庄社区卫生服务中心,北京市朝阳区延静西里11楼,65005221
,八里庄街道,八里庄第二社区卫生服务中心,北京市朝阳区十里堡东里119楼,65574585
,双井街道,双井社区卫生服务中心,北京市朝阳区广渠门外大街31号,67788835
,劲松街道,劲松社区卫生服务中心,北京市朝阳区劲松五区,87715961
,潘家园街道,潘家园社区卫生服务中心,北京市朝阳区潘家园华威里25号,67719999
,垡头街道,垡头社区卫生服务中心,北京市朝阳区垡头金蝉北里19号楼,67204382
,孙河地区（孙河乡）,孙河社区卫生服务中心,北京市朝阳区孙河乡西甸村中街,84595672
,来广营地区（来广营乡）,来广营社区卫生服务中心,北京市朝阳区朝来家园赢秋苑小区北侧综合楼,84952190
,崔各庄地区（崔各庄乡）,崔各庄社区卫生服务中心,北京市朝阳区东直门外京顺路北皋北,84701525
,金盏地区（金盏乡）,金盏社区卫生服务中心,北京市朝阳区金盏乡楼梓庄中心街104号,84317826
,金盏地区（金盏乡）,金盏第二社区卫生服务中心,北京市朝阳区金盏大街2号，北京市朝阳区金盏乡楼梓庄中心街104号,84334240
,东坝地区（东坝乡）,东坝社区卫生服务中心,北京市朝阳区东坝乡东风大队二条,84314994
,将台地区（将台乡）,将台社区卫生服务中心,北京市朝阳区酒仙桥路49号,64372046
,东风地区（东风乡）,东风社区卫生服务中心,北京市朝阳区南十里居40号；北京市朝阳区石佛营西里29号,84503274
,平房地区（平房乡）,平房社区卫生服务中心,北京市朝阳区姚家园西里1号院1号楼,85575492
,常营回族地区（常营回族乡）,常营社区卫生服务中心,北京市朝阳区常营回族乡政府西,65435960
,高碑店地区（高碑店乡）,高碑店社区卫生服务中心,北京市朝阳区高碑店乡高碑店村250号,85775004
,三间房地区（三间房乡）,三间房社区卫生服务中心,北京市朝阳区双桥中路铁路桥南,85365532
,管庄地区（管庄乡）,管庄第二社区卫生服务中心,北京市朝阳区管庄地区瑞祥里小区17号楼,85706208
,黑庄户地区（黑庄户乡）,黑庄户社区卫生服务中心,北京市朝阳区黑庄户乡黑庄户村,85386211
,豆各庄地区（豆各庄乡）,豆各庄社区卫生服务中心,北京市朝阳区豆各庄乡,67384620
,王四营地区（王四营乡）,王四营社区卫生服务中心,北京市朝阳区王四营乡,67379393
,小红门地区（小红门乡）,小红门社区卫生服务中心,北京市朝阳区鸿博家园五区临2号,87604635
,十八里店地区（十八里店乡）,十八里店社区卫生服务中心,北京市朝阳区十八里店乡周家庄村23号,1067482091
,南磨房地区（南磨房乡）,南磨房社区卫生服务中心,北京市朝阳区西大望路29号,010-6732664
,香河园街道,香河园社区卫生服务中心,北京市朝阳区柳芳南里15号楼,64617215
,奥运村地区（奥运村乡）,奥运村社区卫生服务中心,北京市朝阳区媒体村天居园9号楼105,84828804
,亚运村街道,亚运村社区卫生服务中心,北京市朝阳区安慧里一区17号楼,010-64916748
,安贞街道,安贞社区卫生服务中心,北京市朝阳区安贞社区卫生服务中心,64234017
,小关街道,小关社区卫生服务中心,北京市朝阳区安外小关51号,52075435
,大屯街道,大屯社区卫生服务中心,北京市朝阳区安慧北里逸园甲10号,64969518
,太阳宫地区（太阳宫乡）,太阳宫社区卫生服务中心,北京市朝阳区光熙门北里34号楼,64294423
,呼家楼街道,呼家楼第二社区卫生服务中心,北京市朝阳区呼家楼南里1号,65006552
,和平街街道,北京市朝阳区和平街社区卫生服务中心,北京市朝阳区和平街13区1号,010-64202514
,潘家园街道,北京市朝阳区潘家园第二社区卫生服务中心,北京市朝阳区松榆里22号楼,67335624
,建国门外街道,朝阳区建外社区卫生服务中心,北京市朝阳区东三环南路2号,
,麦子店街道,朝阳区麦子店街道农展南里社区卫生服务站,北京市朝阳区麦子店街道农展南里社区居委会旁,010-65026170
,麦子店街道,朝阳区麦子店街道霞光里社区卫生服务站,北京市朝阳区麦子店街道霞光里30号院内,010-64632529
,麦子店街道,朝阳区麦子店街道枣营北里社区卫生服务站,北京市朝阳区麦子店街道枣营北里26号楼东侧,65035115
,首都机场街道,朝阳区首都机场街道南平街社区卫生服务站,北京首都机场宿舍区燕翔西里,64597291
,酒仙桥街道,朝阳区酒仙桥街道东路社区卫生服务站,北京市朝阳区酒仙桥驼房营南里甲15楼2层,64321278
,酒仙桥街道,朝阳区酒仙桥街道南路社区卫生服务站,北京市朝阳区酒仙桥十一街坊21号楼后,64321278
